,Epoch_no,Accuracy,IoU,Dice,f1_score,Precision,Recall,Specificity
0,0,92.1182251,0.001319728559,0.00263754488,1.842319608,1.842319608,1.842319608,1.842319608
1,1,91.28762817,0.06703086197,0.1296930909,1.825246811,1.825246811,1.825246811,1.825246811
2,2,91.46594238,0.07377582788,0.1422938854,1.829612494,1.829612613,1.829612613,1.829612613
3,3,91.9153595,0.03637938201,0.07144594193,1.838085294,1.838085294,1.838085294,1.838085294
4,4,92.03652954,0.02416029945,0.04773627594,1.840844512,1.840844512,1.840844512,1.840844512
5,5,92.01989746,0.01450932305,0.02880842611,1.839912891,1.839912891,1.839912891,1.839912891
6,6,92.05371857,0.007646659389,0.01523499005,1.841846824,1.841846943,1.841846943,1.841846943
7,7,92.0582962,0.006314554252,0.01258806139,1.841631413,1.841631413,1.841631413,1.841631413
8,8,92.06710815,0.004858797882,0.009676226415,1.841685534,1.841685534,1.841685534,1.841685534
9,9,92.11461639,0.003177410923,0.00634461036,1.842702627,1.842702627,1.842702627,1.842702627
10,10,92.10971069,0.003298623022,0.006586395204,1.842407703,1.842407703,1.842407703,1.842407703
11,11,92.10403442,0.00406231638,0.008104970679,1.841228962,1.841228962,1.841228962,1.841228962
12,12,92.16209412,0.001242195256,0.002482864074,1.843788147,1.843788028,1.843788028,1.843788028
13,13,92.13835907,0.002035176614,0.004062194377,1.842458844,1.842458844,1.842458844,1.842458844
14,14,92.14369965,0.002343139844,0.004679265432,1.84265244,1.84265244,1.84265244,1.84265244
